file,position,overlap_area
Reslice of 7,3,898.0
Reslice of 7,4,3036.0
Reslice of 7,5,3012.0
Reslice of 7,6,114.0
Reslice of 7,7,52.0
Reslice of 7,8,112.0
Reslice of 7,9,336.0
Reslice of 7,10,12.0
Reslice of 7,11,71.0
Reslice of 7,12,1729.0
Reslice of 7,13,178.0
Reslice of 7,14,190.0
Reslice of 7,15,162.0
Reslice of 7,16,2100.0
Reslice of 7,17,2809.0
Reslice of 7,18,8699.0
Reslice of 7,19,8209.0
Reslice of 7,20,7131.0
Reslice of 7,21,7653.0
Reslice of 7,22,7515.0
Reslice of 7,23,7664.0
Reslice of 7,24,7132.0
Reslice of 7,25,358.0
Reslice of 7,26,343.0
Reslice of 7,27,423.0
Reslice of 7,28,142.0
Reslice of 7,29,12169.0
Reslice of 7,30,6188.0
Reslice of 7,31,190.0
Reslice of 7,32,2721.0
Reslice of 7,33,390.0
Reslice of 7,34,186.0
Reslice of 7,35,63.0
Reslice of 7,36,218.0
Reslice of 7,37,15.0
Reslice of 7,38,669.0
Reslice of 7,39,4101.0
Reslice of 7,40,293.0
Reslice of 7,41,334.0
Reslice of 7,42,126.0
Reslice of 7,43,10.0
Reslice of 7,44,29.0
Reslice of 7,45,163.0
Reslice of 7,46,163.0
Reslice of 7,47,169.0
Reslice of 7,48,23.0
Reslice of 7,49,19.0
Reslice of 7,50,159.0
Reslice of 7,51,1805.0
Reslice of 7,52,118.0
Reslice of 7,53,1246.0
Reslice of 7,54,288.0
Reslice of 7,55,439.0
Reslice of 7,56,1685.0
Reslice of 7,57,137.0
Reslice of 7,58,66.0
Reslice of 7,59,377.0
Reslice of 7,60,616.0
Reslice of 7,61,1066.0
Reslice of 7,62,867.0
Reslice of 7,63,137.0
Reslice of 7,64,118.0
Reslice of 7,65,133.0
Reslice of 7,66,87.0
Reslice of 7,67,357.0
Reslice of 7,68,947.0
Reslice of 7,69,1301.0
Reslice of 7,70,111.0
Reslice of 7,71,2119.0
Reslice of 7,72,1807.0
Reslice of 7,73,1704.0
Reslice of 7,74,123.0
Reslice of 7,75,5524.0
Reslice of 7,76,0.0
Reslice of 7,77,277.0
Reslice of 7,78,1634.0
Reslice of 7,79,2773.0
Reslice of 7,80,3135.0
Reslice of 7,81,1781.0
Reslice of 7,82,1182.0
Reslice of 7,83,246.0
Reslice of 7,84,204.0
Reslice of 7,85,197.0
Reslice of 7,86,117.0
Reslice of 7,87,2112.0
Reslice of 7,88,180.0
Reslice of 7,89,66.0
Reslice of 7,90,165.0
Reslice of 7,91,183.0
Reslice of 7,92,76.0
Reslice of 7,93,241.0
Reslice of 7,94,786.0
Reslice of 7,95,6.0
Reslice of 7,96,222.0
Reslice of 7,97,370.0
Reslice of 7,98,14.0
Reslice of 7,99,68.0
Reslice of 8,0,12.0
Reslice of 8,1,274.0
Reslice of 8,2,16.0
Reslice of 8,3,196.0
Reslice of 8,4,1423.0
Reslice of 8,5,3704.0
Reslice of 8,6,3505.0
Reslice of 8,7,4127.0
Reslice of 8,8,434.0
Reslice of 8,9,541.0
Reslice of 8,10,1303.0
Reslice of 8,11,315.0
Reslice of 8,12,129.0
Reslice of 8,13,7.0
Reslice of 8,14,802.0
Reslice of 8,15,447.0
Reslice of 8,16,1557.0
Reslice of 8,17,2681.0
Reslice of 8,18,2918.0
Reslice of 8,19,2935.0
Reslice of 8,20,3600.0
Reslice of 8,21,1375.0
Reslice of 8,22,45.0
Reslice of 8,23,286.0
Reslice of 8,24,1391.0
Reslice of 8,25,5.0
Reslice of 8,26,110.0
Reslice of 8,27,547.0
Reslice of 8,28,24.0
Reslice of 8,29,278.0
Reslice of 8,30,153.0
Reslice of 8,31,148.0
Reslice of 8,32,6.0
Reslice of 8,33,2872.0
Reslice of 8,34,1976.0
Reslice of 8,35,1389.0
Reslice of 8,36,44.0
Reslice of 8,37,43.0
Reslice of 8,38,50.0
Reslice of 8,39,48.0
Reslice of 8,40,323.0
Reslice of 8,41,36.0
Reslice of 8,42,28.0
Reslice of 8,43,66.0
Reslice of 8,44,109.0
