file,position,overlap_area
Reslice of 5,63,2229.0
Reslice of 5,64,2855.0
Reslice of 5,65,5869.0
Reslice of 5,66,17441.0
Reslice of 5,67,42860.0
Reslice of 5,68,9067.0
Reslice of 5,69,18267.0
Reslice of 5,70,28815.0
Reslice of 5,71,39975.0
Reslice of 5,72,34928.0
Reslice of 5,73,22594.0
Reslice of 5,74,20107.0
Reslice of 5,75,10768.0
Reslice of 5,76,3621.0
Reslice of 5,77,3185.0
Reslice of 5,78,4360.0
Reslice of 5,79,8310.0
Reslice of 5,80,14770.0
Reslice of 5,81,19607.0
Reslice of 5,82,11346.0
Reslice of 5,83,4702.0
Reslice of 5,84,2219.0
Reslice of 5,85,1825.0
Reslice of 5,86,2819.0
Reslice of 5,87,2018.0
Reslice of 5,88,3612.0
Reslice of 5,89,3752.0
Reslice of 5,90,4377.0
Reslice of 5,91,63278.0
Reslice of 5,92,89905.0
Reslice of 5,93,46712.0
Reslice of 5,94,16779.0
Reslice of 5,95,4048.0
Reslice of 5,96,4266.0
Reslice of 5,97,3705.0
Reslice of 5,98,8434.0
Reslice of 5,99,13303.0
Reslice of 6,0,19790.0
Reslice of 6,1,24013.0
Reslice of 6,2,4670.0
Reslice of 6,3,954.0
Reslice of 6,4,1485.0
Reslice of 6,5,737.0
Reslice of 6,6,1030.0
Reslice of 6,7,5146.0
Reslice of 6,8,1016.0
Reslice of 6,9,2314.0
Reslice of 6,10,1450.0
Reslice of 6,11,3254.0
Reslice of 6,12,3344.0
Reslice of 6,13,8708.0
Reslice of 6,14,10075.0
Reslice of 6,15,61948.0
Reslice of 6,16,2253.0
Reslice of 6,17,930.0
Reslice of 6,18,510.0
Reslice of 6,19,16223.0
Reslice of 6,20,42097.0
Reslice of 6,21,52058.0
Reslice of 6,22,61099.0
Reslice of 6,23,76245.0
Reslice of 6,24,59123.0
Reslice of 6,25,28353.0
Reslice of 6,26,33981.0
Reslice of 6,27,37893.0
Reslice of 6,28,38883.0
Reslice of 6,29,27751.0
Reslice of 6,30,10944.0
Reslice of 6,31,4168.0
Reslice of 6,32,1411.0
Reslice of 6,33,2749.0
Reslice of 6,34,1655.0
Reslice of 6,35,2811.0
